elements,structure,volt_av,deltaE1,deltaE3,a,a3,delta_a,c,c3,delta_c,v,v3,delta_v,volt1
Mg,Li3Mg3O6.xsf,-4.187522692943372,-1.9970418417140607,-1.2668815579709574,2.98235,3.46345,16.131574094254535,14.16993,8.51232,-39.92687331553508,109.148197,88.429357,-18.98230164993014,-4.868521765431939
Al,Li3Al3O6.xsf,-5.033110099740797,-2.901662810487172,-2.191180380735963,2.80562,2.90791,3.645896450695406,14.18373,12.03086,-15.17844741827432,96.68964,88.102896,-8.88072806972908,-5.126675636946593
Ca,Li3Ca3O6.xsf,-3.8395618134953433,-2.058898682813235,-1.4653443059191986,3.33127,3.77352,13.275717669237258,14.39331,9.59075,-33.366612683253535,138.328496,118.270721,-14.500103434942288,-3.922746428363029
Sc,Li3Sc3O6.xsf,-4.1516828754695965,-3.142941129790204,-2.806693881230406,3.08281,3.54883,15.116727920306484,14.55766,8.72879,-40.03988278335942,119.816563,95.204215,-20.54169088458997,-4.73371621771778
Ti,Li3Ti3O6.xsf,-1.9610867159328,-2.8317284523763173,-3.121942364524157,2.87715,2.96327,2.9932398380341727,14.78041,14.45122,-2.227204793371771,105.960292,109.894602,3.713004112899208,-1.9560318809158284
V,Li3V3O6.xsf,-2.407110814187837,-2.4790856361348315,-2.5030772434504964,2.78295,2.80337,0.733753750516542,14.76341,14.84567,0.5571883460528413,99.021355,101.039551,2.038142176503244,-2.266588514152528
Cr,Li3Cr3O6.xsf,-2.6850145384132147,-2.0274941648064084,-1.8083207069374727,2.71204,2.71725,0.1921063111163529,14.85425,15.18847,2.2499957924499734,94.617887,97.118988,2.6433701695325387,-2.556368018975118
Mn,Li3Mn3O6.xsf,-2.874135627859287,-1.8587432742938128,-1.5202791564386549,2.72396,2.73858,0.5367186008605066,14.62258,14.94215,2.1854556446263285,93.963071,97.049454,3.284676593850363,-2.7041261930890568
Co,Li3Co3O6.xsf,-3.3900532501176595,-1.7173778375331088,-1.159819366671592,2.81375,2.7815,-1.1461572634384836,13.7918,13.57539,-1.5691207819138893,94.563003,90.957736,-3.812555529777325,-3.1949088265767425
Ni,Li3Ni3O6.xsf,-3.010372812679614,-1.43895529678659,-0.9151494581555818,2.85103,2.78936,-2.1630779051781404,14.04899,14.01083,-0.2716209492639651,98.895951,94.407106,-4.538957312822643,-3.0271652397348467
Cu,Li3Cu3O6.xsf,-3.82329946451369,-1.1894040996271236,-0.3114389779982681,2.89216,2.88985,-0.079871099800842,14.25611,12.44895,-12.676389281508069,103.27025,90.035619,-12.815531094385854,-3.869768825816276
Zn,Li3Zn3O6.xsf,-4.638125336009266,-1.4731906224044422,-0.4182123845361676,2.92561,3.05594,4.454797461042323,14.51925,11.08883,-23.626702481188765,107.623852,89.68193,-16.670953200968874,-4.766499696093102
Ga,Li3Ga3O6.xsf,-4.895657880558565,-2.0951549707638595,-1.161654000832291,2.91635,3.02548,3.742006274966995,14.4128,11.78041,-18.26425122113677,106.159122,93.385646,-12.032386628065748,-4.95504068384736
Nb,Li3Nb3O6.xsf,-1.9258026913040909,-2.390679221635968,-2.545638065079926,2.86601,3.0348,5.889372332964643,15.85994,14.59034,-8.005074420205881,112.82042,116.373739,3.149535341208624,-2.166106882170824
"['Al', 'Al', 'Cu']",Li3Al2CuO6.xsf,-4.570881567433184,-2.3235160668320787,-1.5743942332983771,2.82658,2.90409,2.742183132973424,14.30019,11.93797,-16.518801498441633,98.945328,87.19306,-11.877537057636518,-4.39290173219411
"['Al', 'Al', 'Ga']",Li3Al2GaO6.xsf,-4.980062473191899,-2.62471389460417,-1.8395977017415936,2.84204,2.94194,3.51508071666832,14.28174,12.00272,-15.957579398588685,99.901532,89.966159,-9.945165805865718,-5.019078768091952
"['Al', 'Al', 'Mg']",Li3Al2MgO6.xsf,-4.158483321795667,-2.59523649928347,-2.074154225112738,2.83206,2.99673,5.814495455604757,14.47763,12.12892,-16.223028216634898,100.561634,94.329543,-6.197284940696168,-5.403910278198596
"['Al', 'Al', 'Mn']",Li3Al2MnO6.xsf,-4.322145742867792,-2.548449416539922,-1.957217307763965,2.78944,2.88323,3.3623236205116536,14.24237,12.45516,-12.548543535942404,95.972551,89.668489,-6.568609393325391,-3.728473631316477
"['Al', 'Al', 'Ni']",Li3Al2NiO6.xsf,-4.380098541733136,-2.411138594594514,-1.7548186122149732,2.81641,2.86878,1.859459382689319,14.18661,12.62074,-11.037661569606836,97.454546,89.951882,-7.6986290613882655,-3.865046015232073
"['Al', 'Al', 'Sc']",Li3Al2ScO6.xsf,-4.921195552696433,-2.933969006578199,-2.2715601578721216,2.9003,3.04632,5.034651587766784,14.34649,11.3597,-20.818959898902097,104.510765,91.29543,-12.644950977059644,-5.049566284595365
"['Al', 'Al', 'Zn']",Li3Al2ZnO6.xsf,-4.88517613998275,-2.416609395543194,-1.593753814063342,2.83339,2.92977,3.401579027242981,14.4314,11.98023,-16.984977202489013,100.334489,89.056012,-11.240877501254836,-4.957509982339431
"['Ga', 'Ga', 'Al']",Li3Ga2AlO6.xsf,-4.935674012999967,-2.355905813259279,-1.4959830800123834,2.87881,2.98287,3.614688013450003,14.35501,11.89304,-17.150597596239926,103.02886,91.641616,-11.052479858556133,-4.971538683552016
"['Ga', 'Ga', 'Mn']",Li3Ga2MnO6.xsf,-4.053806689684875,-1.9995804895934588,-1.31483842289632,2.88024,3.18169,10.46614171041302,14.298,9.68222,-32.28269688068262,102.722156,84.883126,-17.366292428675266,-3.484711597146228
"['Ga', 'Ga', 'Ni']",Li3Ga2NiO6.xsf,-4.357707051662822,-1.8723252436853264,-1.0438646410261614,2.89789,2.93862,1.4055053849524977,14.27559,12.42145,-12.988184726515678,103.821688,92.894441,-10.525013810216604,-3.842959066080896
"['Mg', 'Mg', 'Cu']",Li3Mg2CuO6.xsf,-4.309961521051806,-1.7546731786201477,-0.9029103978095948,2.92201,3.43941,17.706989366908388,14.52476,8.37363,-42.34927117556504,107.399928,85.785306,-20.12535986057644,-4.695040790954777
"['Mg', 'Mg', 'Sc']",Li3Mg2ScO6.xsf,-4.175139283678631,-2.373452024438433,-1.7728896046917004,3.03564,3.49669,15.187901068637922,14.23888,8.58687,-39.69420347667794,113.633832,90.92441,-19.98473658795561,-4.897743951833132
"['Mg', 'Mg', 'Zn']",Li3Mg2ZnO6.xsf,-4.323774435862389,-1.826790599641141,-0.9944626542340588,2.95022,3.4611,17.316674688667295,14.42078,8.45128,-41.395125645076064,108.699634,87.675889,-19.341136880000903,-4.933426260654612
"['Mn', 'Mn', 'Al']",Li3Mn2AlO6.xsf,-3.614373691385966,-2.1980672440438096,-1.7259650949297578,2.76017,2.82243,2.255658165982537,14.39529,13.70693,-4.781841838545798,94.978217,94.562117,-0.4381004541283399,-3.5529528902959178
"['Mn', 'Mn', 'Cu']",Li3Mn2CuO6.xsf,-3.1939328443636046,-1.6252618714468736,-1.1023715471412965,2.80387,2.79273,-0.397308006433954,14.42545,14.49575,0.4873331507855878,98.214692,97.910616,-0.3096033738007292,-3.241308617401521
"['Mn', 'Mn', 'Ti']",Li3Mn2TiO6.xsf,-2.613819221033928,-2.1678115554410726,-2.019142333576787,2.79921,2.86562,2.3724550855419877,14.52522,14.58603,0.4186511460755846,98.565139,103.73007,5.240119430055281,-2.3369486229626784
"['Mn', 'Mn', 'V']",Li3Mn2VO6.xsf,-2.7193241681601648,-2.061732353290189,-1.8425350816668635,2.74401,2.77201,1.0204044445902174,14.65972,14.75596,0.6564927570240078,95.593321,98.194478,2.7210656275870995,-2.4869375876471924
"['Mn', 'Mn', 'Zn']",Li3Mn2ZnO6.xsf,-3.640965261046865,-1.7492807635107095,-1.1187192643319914,2.84283,2.82633,-0.5804075516298963,14.50895,14.16989,-2.3369023947287704,101.547505,98.026558,-3.467290506054291,-3.907230624141724
"['Sc', 'Sc', 'Co']",Li3Sc2CoO6.xsf,-3.8301077567932063,-2.628128514298692,-2.227468766800521,3.00146,3.39937,13.257214822119902,14.21625,8.68679,-38.89534863272663,110.912749,86.933521,-21.6199023252052,-4.086636744908419
"['Sc', 'Sc', 'Cu']",Li3Sc2CuO6.xsf,-4.084008713250082,-2.4735689556320257,-1.9367557030926736,3.03717,3.52808,16.1634021144684,14.37487,8.30387,-42.2334254153255,114.834782,89.513446,-22.050232132630335,-4.336074668948326
"['Sc', 'Sc', 'Mg']",Li3Sc2MgO6.xsf,-4.174619818052766,-2.756159571393599,-2.2833394891738763,3.06447,3.52729,15.1027747049245,14.42346,8.64956,-40.03131010173704,117.303314,93.198039,-20.54952599207897,-4.7927664523438285
"['Sc', 'Sc', 'Mn']",Li3Sc2MnO6.xsf,-3.24039835071944,-2.665753668891913,-2.474205441616072,3.00579,3.49388,16.238326696143098,14.29924,8.26289,-42.21448132907762,111.882028,87.35323,-21.923805313933,-3.2278626483197184
"['Sc', 'Sc', 'Ni']",Li3Sc2NiO6.xsf,-3.932281166865205,-2.5478651651057347,-2.086393164519245,3.02227,3.42806,13.426662740258154,14.27521,8.62863,-39.55514489804354,112.922021,87.815258,-22.23371737209698,-3.909401005402781
"['Sc', 'Sc', 'Zn']",Li3Sc2ZnO6.xsf,-4.254565550682727,-2.57317084305196,-2.0127059405083707,3.04521,3.52656,15.806791649836956,14.50522,8.54026,-41.12285094607321,116.490223,91.982493,-21.03844371557259,-4.745747874284055
"['Al', 'Al', 'Co']",Li3Al2CoO6.xsf,-4.523256084448863,-2.50674963824892,-1.8345808228489395,2.80816,2.86187,1.9126403053957093,14.05834,12.69146,-9.722911808933349,96.008244,90.020815,-6.23636966008878,-4.111359934493169
"['Co', 'Co', 'Al']",Li3Co2AlO6.xsf,-3.973267884592437,-2.111975108093539,-1.4915441825939069,2.81059,2.81803,0.2647131029427946,13.93343,13.24845,-4.916090295067328,95.319796,91.114663,-4.41160511925561,-3.207945672261367
"['Al', 'Mn', 'Mg']",Li3AlMnMgO6.xsf,-3.986276430419236,-2.292147808015804,-1.7274382672146598,2.83626,3.33411,17.553045207421047,14.60705,9.28693,-36.42159094409891,101.761704,89.404956,-12.142827325297144,-3.9237559713018726
"['Al', 'Mn', 'Ni']",Li3AlMnNiO6.xsf,-3.649013395414836,-2.058003422084264,-1.5276667643074069,2.80194,2.82679,0.8868855150360042,14.24172,13.48147,-5.338189488348323,96.830412,93.294338,-3.651821702462651,-2.769804716586226
"['Al', 'Mn', 'Sc']",Li3AlMnScO6.xsf,-4.232544997346856,-2.5780506860901267,-2.0265525823378834,2.90517,3.03155,4.350175721214255,14.26036,11.42177,-19.905458207226182,104.232701,90.9066,-12.784952200365607,-3.5760156402517875
"['Al', 'Sc', 'Zn']",Li3AlScZnO6.xsf,-4.647014075877289,-2.468010023761676,-1.741675339723137,2.94128,3.41802,16.20858945765109,14.48613,8.5087,-41.26312548624098,108.531857,86.088247,-20.67928313435198,-4.974493161307368
"['Mn', 'Cr', 'Co']",Li3MnCrCoO6.xsf,-2.9679289698352846,-1.8609601728792988,-1.4919705738939704,2.7552,2.75193,-0.1186846689895347,14.39953,14.6265,1.5762320020167302,94.663792,95.928102,1.3355792888583995,-2.8202803669589795
"['Mn', 'Cr', 'Ni']",Li3MnCrNiO6.xsf,-2.829659773719752,-1.7648719546497678,-1.40994268162644,2.76568,2.75338,-0.4447369182262662,14.50143,14.72625,1.550329864020315,96.060451,96.684159,0.6492869786755358,-2.731822908408802
"['Mn', 'Cu', 'V']",Li3MnCuVO6.xsf,-3.068790881132033,-1.843888503005228,-1.4355877102962928,2.81797,2.81362,-0.1543664410905749,14.53671,14.27484,-1.8014392527607694,99.969888,97.865959,-2.1045627259280253,-3.16946031712656
"['Mn', 'Cu', 'Zn']",Li3MnCuZnO6.xsf,-3.908684211775046,-1.522176760424694,-0.7266742766412432,2.8723,2.892,0.6858615047174679,14.4696,12.95068,-10.497318516061258,103.382621,93.803636,-9.265566018102794,-4.464528123500822
"['Mn', 'Ti', 'Co']",Li3MnTiCoO6.xsf,-2.800771607251452,-2.12701026356357,-1.9024231490009424,2.82339,2.85837,1.2389361724735164,14.29062,14.27509,-0.1086726818010698,98.655943,101.005764,2.3818342094201115,-2.635050598417102
"['Mn', 'Ti', 'Cr']",Li3MnTiCrO6.xsf,-2.573988534284207,-2.2240251433440568,-2.10737067969734,2.7904,2.84667,2.0165567660550474,14.6354,14.69459,0.4044303537996856,98.689032,103.124906,4.494799381556401,-2.3252173802509644
"['Mn', 'Ti', 'Cu']",Li3MnTiCuO6.xsf,-2.970580085832586,-1.9637347914342425,-1.6281196933014614,2.86993,2.89744,0.9585599648771894,14.46781,14.14868,-2.205793413101219,103.198938,102.866893,-0.3217523420638241,-3.0166853132517426
"['Mn', 'Ti', 'Ni']",Li3MnTiNiO6.xsf,-2.6733838418253755,-2.035258510728441,-1.822550067029464,2.84119,2.86226,0.7415906715143978,14.36635,14.33418,-0.223926049414087,100.433068,101.700078,1.261546645174674,-2.569943378264476
"['Mn', 'Ti', 'Zn']",Li3MnTiZnO6.xsf,-3.4274403077952,-2.098448058487904,-1.6554506420521384,2.8968,2.92365,0.9268848384424206,14.71891,13.78111,-6.371395707970219,106.965344,102.015297,-4.627711008903966,-3.3750814924847297
"['Mn', 'Zn', 'V']",Li3MnZnVO6.xsf,-3.521998335464317,-1.972134198521352,-1.4555128195403635,2.84385,2.84235,-0.0527453979640296,14.71174,13.99591,-4.86570589202909,103.04083,97.923383,-4.966426415625727,-3.88591906383148
